id_equipamento,nome_oficial,categoria_tarifaria,destino_gratuidade_hipossuficiencia,distrito_principal,distritos_intersectados,numero_distritos_intersectados,subprefeitura_principal,subprefeituras_intersectadas,numero_subprefeituras_intersectadas,metodo_contexto_administrativo
cem_consolacao,Cemitério da Consolação,1,False,CONSOLACAO,CONSOLACAO:100.00%,1,SE,SE:100.00%,1,maior_area_de_intersecao_em_EPSG_31983
cem_quarta_parada,Cemitério da Quarta Parada,1,False,BELEM,BELEM:100.00%,1,MOOCA,MOOCA:100.00%,1,maior_area_de_intersecao_em_EPSG_31983
cem_santana,Cemitério Santana (Chora Menino),2,False,SANTANA,SANTANA:100.00%,1,SANTANA-TUCURUVI,SANTANA-TUCURUVI:100.00%,1,maior_area_de_intersecao_em_EPSG_31983
cem_tremembe,Cemitério do Tremembé,2,False,TREMEMBE,TREMEMBE:100.00%,1,JACANA-TREMEMBE,JACANA-TREMEMBE:100.00%,1,maior_area_de_intersecao_em_EPSG_31983
cem_vila_formosa_i,Cemitério Vila Formosa I,4,True,CARRAO,CARRAO:98.94%|VILA FORMOSA:1.06%,2,ARICANDUVA-FORMOSA-CARRAO,ARICANDUVA-FORMOSA-CARRAO:100.00%,1,maior_area_de_intersecao_em_EPSG_31983
cem_vila_formosa_ii,Cemitério Vila Formosa II,4,True,CARRAO,CARRAO:100.00%,1,ARICANDUVA-FORMOSA-CARRAO,ARICANDUVA-FORMOSA-CARRAO:100.00%,1,maior_area_de_intersecao_em_EPSG_31983
cem_vila_mariana,Cemitério Vila Mariana,1,False,VILA MARIANA,VILA MARIANA:100.00%,1,VILA MARIANA,VILA MARIANA:100.00%,1,maior_area_de_intersecao_em_EPSG_31983
cem_araca,Cemitério do Araçá,1,False,CONSOLACAO,CONSOLACAO:100.00%,1,SE,SE:100.00%,1,maior_area_de_intersecao_em_EPSG_31983
cem_dom_bosco,Cemitério Dom Bosco,3,True,PERUS,PERUS:100.00%,1,PERUS-ANHANGUERA,PERUS-ANHANGUERA:100.00%,1,maior_area_de_intersecao_em_EPSG_31983
cem_santo_amaro,Cemitério Santo Amaro,2,False,SANTO AMARO,SANTO AMARO:100.00%,1,SANTO AMARO,SANTO AMARO:100.00%,1,maior_area_de_intersecao_em_EPSG_31983
cem_sao_paulo,Cemitério São Paulo,1,False,PINHEIROS,PINHEIROS:100.00%,1,PINHEIROS,PINHEIROS:100.00%,1,maior_area_de_intersecao_em_EPSG_31983
cem_vila_nova_cachoeirinha,Cemitério Vila Nova Cachoeirinha,3,False,CACHOEIRINHA,CACHOEIRINHA:100.00%,1,CASA VERDE-LIMAO-CACHOEIRINHA,CASA VERDE-LIMAO-CACHOEIRINHA:100.00%,1,maior_area_de_intersecao_em_EPSG_31983
cem_campo_grande,Cemitério Campo Grande,2,False,CAMPO GRANDE,CAMPO GRANDE:100.00%,1,SANTO AMARO,SANTO AMARO:100.00%,1,maior_area_de_intersecao_em_EPSG_31983
cem_lageado,Cemitério do Lageado,3,False,LAJEADO,LAJEADO:100.00%,1,GUAIANASES,GUAIANASES:100.00%,1,maior_area_de_intersecao_em_EPSG_31983
cem_lapa,Cemitério da Lapa,1,False,VILA LEOPOLDINA,VILA LEOPOLDINA:100.00%,1,LAPA,LAPA:100.00%,1,maior_area_de_intersecao_em_EPSG_31983
cem_parelheiros,Cemitério de Parelheiros,3,False,PARELHEIROS,PARELHEIROS:100.00%,1,PARELHEIROS,PARELHEIROS:100.00%,1,maior_area_de_intersecao_em_EPSG_31983
cem_saudade,Cemitério da Saudade,3,True,SAO MIGUEL,SAO MIGUEL:100.00%,1,SAO MIGUEL,SAO MIGUEL:100.00%,1,maior_area_de_intersecao_em_EPSG_31983
cem_freguesia_do_o,Cemitério da Freguesia do Ó,2,False,FREGUESIA DO O,FREGUESIA DO O:100.00%,1,FREGUESIA-BRASILANDIA,FREGUESIA-BRASILANDIA:100.00%,1,maior_area_de_intersecao_em_EPSG_31983
cem_itaquera,Cemitério de Itaquera,3,False,PARQUE DO CARMO,PARQUE DO CARMO:100.00%,1,ITAQUERA,ITAQUERA:100.00%,1,maior_area_de_intersecao_em_EPSG_31983
cem_penha,Cemitério da Penha,2,False,PENHA,PENHA:100.00%,1,PENHA,PENHA:100.00%,1,maior_area_de_intersecao_em_EPSG_31983
cem_sao_luiz,Cemitério São Luiz,4,True,JARDIM SAO LUIS,JARDIM SAO LUIS:100.00%,1,M BOI MIRIM,M BOI MIRIM:100.00%,1,maior_area_de_intersecao_em_EPSG_31983
cem_sao_pedro,Cemitério São Pedro,2,False,VILA PRUDENTE,VILA PRUDENTE:100.00%,1,VILA PRUDENTE,VILA PRUDENTE:100.00%,1,maior_area_de_intersecao_em_EPSG_31983
crem_vila_alpina,Crematório Vila Alpina,,True,VILA PRUDENTE,VILA PRUDENTE:100.00%,1,VILA PRUDENTE,VILA PRUDENTE:100.00%,1,maior_area_de_intersecao_em_EPSG_31983
