x,y,n,rho_spearman,p_valor
renda_mediana_responsavel,taxa_bruta_2022_100mil,96,0.4397806380444981,7.3545294061193704e-06
proporcao_preta_parda,taxa_bruta_2022_100mil,96,-0.5809142702116116,5.47720027793028e-10
renda_mediana_responsavel,taxa_padronizada_2022_100mil,96,-0.6000018678174056,1.0441149301216054e-10
proporcao_preta_parda,taxa_padronizada_2022_100mil,96,0.52622083559414,3.664584357288607e-08
renda_mediana_responsavel,taxa_padronizada_menos70_2022_100mil,96,-0.8457566267934281,2.193298344929024e-27
proporcao_preta_parda,taxa_padronizada_menos70_2022_100mil,96,0.8263971785132935,3.540792768373065e-25
renda_mediana_responsavel,taxa_padronizada_menos70_media_2018_2019_100mil,96,-0.7857298704566184,2.551082570272137e-21
proporcao_preta_parda,taxa_padronizada_menos70_media_2018_2019_100mil,96,0.7497287032013022,1.5163606837722452e-18
renda_mediana_responsavel,taxa_padronizada_menos70_media_2022_2024_100mil,96,-0.8464310847297966,1.814547858706902e-27
proporcao_preta_parda,taxa_padronizada_menos70_media_2022_2024_100mil,96,0.8320130222463374,8.663595327239203e-26
renda_mediana_responsavel,idade_media_aproximada_obito_2022,96,0.8864761731133816,3.236174373848247e-33
proporcao_preta_parda,idade_media_aproximada_obito_2022,96,-0.9513564839934888,7.437014828413746e-50
renda_mediana_responsavel,choque_pandemia_contagem_pct,96,-0.6412255544130288,1.9519630470807995e-12
proporcao_preta_parda,choque_pandemia_contagem_pct,96,0.6502577319587628,7.52067353406726e-13
